Survey          Name        RA              Dec
STAR_TRACKER ORION_SF_0078 05:24:54.15042 -05:59:24.10196
STAR_TRACKER ORION_SF_0079 05:36:56.15599 -05:59:24.10196
STAR_TRACKER ORION_SF_0080 05:32:55.48747 -05:59:24.10196
STAR_TRACKER ORION_SF_0081 05:53:57.98883 -06:59:11.16197
STAR_TRACKER ORION_SF_0082 05:17:45.92179 -06:59:11.16197
STAR_TRACKER ORION_SF_0083 05:21:47.26257 -06:59:11.16197
STAR_TRACKER ORION_SF_0084 05:37:52.62570 -06:59:11.16197
STAR_TRACKER ORION_SF_0085 05:49:56.64804 -06:59:11.16197
STAR_TRACKER ORION_SF_0086 05:25:48.60335 -06:59:11.16197
STAR_TRACKER ORION_SF_0087 05:45:55.30726 -06:59:11.16197
STAR_TRACKER ORION_SF_0088 05:29:49.94413 -06:59:11.16197
STAR_TRACKER ORION_SF_0089 05:33:51.28492 -06:59:11.16197
STAR_TRACKER ORION_SF_0090 05:41:53.96648 -06:59:11.16197
STAR_TRACKER ORION_SF_0091 05:22:41.34454 -07:58:56.19434
STAR_TRACKER ORION_SF_0092 05:38:49.41176 -07:58:56.19434
STAR_TRACKER ORION_SF_0093 05:46:53.44538 -07:58:56.19434
STAR_TRACKER ORION_SF_0094 05:30:45.37815 -07:58:56.19434
STAR_TRACKER ORION_SF_0095 05:54:57.47899 -07:58:56.19434
STAR_TRACKER ORION_SF_0096 05:42:51.42857 -07:58:56.19434
STAR_TRACKER ORION_SF_0097 05:18:39.32773 -07:58:56.19434
STAR_TRACKER ORION_SF_0098 05:34:47.39496 -07:58:56.19434
STAR_TRACKER ORION_SF_0099 05:50:55.46218 -07:58:56.19434
STAR_TRACKER ORION_SF_0100 05:26:43.36134 -07:58:56.19434
